09 открытие	09 макс	09 мин	09 закрытие 	10 открыте	10 макс	10 мин	10 закрытие 	11 открыте	11 макс	11 мин	11 закрытие 	12 открыте	12 макс	12 мин	12 закрытие 
110360,00	110360,00	110330,00	110330,00	114420,00	114450,00	114380,00	114380,00	111640,00	111680,00	111550,00	111570,00	110090,00	110150,00	110070,00	110130,00
110330,00	110330,00	110310,00	110330,00	114380,00	114390,00	114320,00	114330,00	111570,00	111570,00	111430,00	111460,00	110130,00	110180,00	110120,00	110130,00
110330,00	110370,00	110290,00	110290,00	114330,00	114380,00	114320,00	114360,00	111460,00	111470,00	111370,00	111440,00	110110,00	110140,00	110080,00	110130,00
110280,00	110310,00	110260,00	110300,00	114360,00	114440,00	114340,00	114430,00	111440,00	111440,00	111330,00	111340,00	110140,00	110310,00	110120,00	110280,00
110300,00	110350,00	110290,00	110350,00	114430,00	114520,00	114430,00	114510,00	111350,00	111350,00	111150,00	111170,00	110280,00	110350,00	110280,00	110310,00
110340,00	110350,00	110330,00	110340,00	114510,00	114610,00	114510,00	114590,00	111160,00	111160,00	111020,00	111030,00	110290,00	110310,00	110250,00	110280,00
110350,00	110360,00	110330,00	110340,00	114590,00	114610,00	114540,00	114590,00	111030,00	111130,00	111030,00	111130,00	110290,00	110300,00	110200,00	110200,00
110350,00	110370,00	110340,00	110360,00	114600,00	114630,00	114570,00	114590,00	111130,00	111200,00	111100,00	111190,00	110210,00	110290,00	110200,00	110280,00
110360,00	110440,00	110360,00	110440,00	114600,00	114620,00	114570,00	114570,00	111190,00	111210,00	111080,00	111150,00	110280,00	110330,00	110240,00	110240,00
110430,00	110490,00	110430,00	110440,00	114580,00	114630,00	114560,00	114560,00	111160,00	111170,00	111090,00	111130,00	110250,00	110360,00	110240,00	110250,00
110440,00	110460,00	110430,00	110450,00	114570,00	114590,00	114490,00	114490,00	111130,00	111220,00	111070,00	111220,00	110250,00	110290,00	110160,00	110180,00
110440,00	110470,00	110400,00	110410,00	114480,00	114490,00	114410,00	114440,00	111210,00	111220,00	111090,00	111210,00	110190,00	110200,00	110120,00	110140,00
